,description
309,HRSG D BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1D51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSG D:To perform servicing BFW Steam Dr HRSG D:To perform servicing BFW Steam Drum Level CV due to passing WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1D51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
310,ATR: HRSG D:Calibrate/replace positioner Copied from notif: 24048654  HRSG D: OPENING CV FLUCTUATE & NOT TALLY AT SITE/DCS (FIC-1D51-CV).  1st Line T/S: 1. FO perform visual check and found no abnomalities at CV. 2. PO check and observe trending with other HRSG opening CV BFW inlet. 3. OPN raise ATR (eLOG-UK-COGEN2-20-01042) & inform C&I.  Finding T/Shooter: 1. C&I check CV Condition for connection tubing and instrument cable in good condition. 2. C&I suspect positioner problem and to rectify during Boiler Shutdown. 3. C&I request OPN to raise SAP & update finding into ATR. 4. C&I will replace new positioner during unit shutdown.  Work Request: 1. OPN raise SAP & update ATR. 2. OPN request C&I to replace new positioner during unit shutdown.  Remark: 1. Refer to the picture as per attach.  Notification Rejected By: Muhammad Arham Abdullah 118567 Rejection date/time: 16.05.2020 09:40:08 Reason for Rejection: Agreed defect to check under troubleshooting ATR during SD ATR: HRSG D:Calibrate/replace positioner ATR: HRSG D:Calibrate/replace positioner Copied from notif: 24048654  HRSG D: OPENING CV FLUCTUATE & NOT TALLY AT SITE/DCS (FIC-1D51-CV).  1st Line T/S: 1. FO perform visual check and found no abnomalities at CV. 2. PO check and observe trending with other HRSG opening CV BFW inlet. 3. OPN raise ATR (eLOG-UK-COGEN2-20-01042) & inform C&I.  Finding T/Shooter: 1. C&I check CV Condition for connection tubing and instrument cable in good condition. 2. C&I suspect positioner problem and to rectify during Boiler Shutdown. 3. C&I request OPN to raise SAP & update finding into ATR. 4. C&I will replace new positioner during unit shutdown.  Work Request: 1. OPN raise SAP & update ATR. 2. OPN request C&I to replace new positioner during unit shutdown.  Remark: 1. Refer to the picture as per attach.  Notification Rejected By: Muhammad Arham Abdullah 118567 Rejection date/time: 16.05.2020 09:40:08 Reason for Rejection: Agreed defect to check under troubleshooting ATR during SD
311,HRSG D FIC-1D51-CV NO INSULATION Work Request Task:Request C&I to arrange for install insulation at Steam drum level control valve  Tag no and description:FIC-1D51-CV Steam Drum Level CV  Troubleshooter finding:Insulation not install back after maint job by C&I HRSG D FIC-1D51-CV NO INSULATION HRSG D FIC-1D51-CV NO INSULATION Work Request Task:Request C&I to arrange for install insulation at Steam drum level control valve  Tag no and description:FIC-1D51-CV Steam Drum Level CV  Troubleshooter finding:Insulation not install back after maint job by C&I
312,HRSG D:BFW CONTROL VALVE PASSING 121FIC- HRSG D:BFW CONTROL VALVE PASSING 121FIC-1D51-CV  1st Line T/S: 1)Base on trending control valve 0% but level still increase 2)Verify opening at site.condition tally with DCS  Integrated T/S: NA. Request by KA to raised SAP  Work Request: To replace new control valve  Tag Number and name: 121FIC-1D51-CV  Remark: Valve already recondition before this. still not resolve passing issue HRSG D:TO REPLACE NEW POSITIONER BFW CON HRSG D:BFW CONTROL VALVE PASSING 121FIC-1D51-CV  1st Line T/S: 1)Base on trending control valve 0% but level still increase 2)Verify opening at site.condition tally with DCS  Integrated T/S: NA. Request by KA to raised SAP  Work Request: To replace new control valve  Tag Number and name: 121FIC-1D51-CV  Remark: Valve already recondition before this. still not resolve passing issue
313,"121FIC-1D52-TX (Superheated Steam Flow) 121FIC-1D52-TX (Superheated Steam Flow) reading does not tally with 121FIC-1D51-TX (BFW Inlet Flow).  1st line t/shooting: Perform trending between the 2 transmitter and found that difference between those reading was >20,000 kg/hr. Deviate from normal operating condition.  Troubleshooter: C&I t/shooter attend and found leak at flow transmitter. To replace sensor and awaiting spare part. HRSG D: To replace superheated steam flo HRSG D: To replace superheated steam flow transmitter, 121FIC-1D52-TX 121FIC-1D52-TX (Superheated Steam Flow) reading does not tally with 121FIC-1D51-TX (BFW Inlet Flow).  1st line t/shooting: Perform trending between the 2 transmitter and found that difference between those reading was >20,000 kg/hr. Deviate from normal operating condition.  Troubleshooter: C&I t/shooter attend and found leak at flow transmitter. To replace sensor and awaiting spare part."
314,"HRSG E- BFW CV, 121FIC-1E51-CV. Suspecte HRSG E- BFW CV, 121FIC-1E51-CV. Suspected valve hunting. HRSG E: To rectify BFW CV (121FIC-1E51-C HRSG E: To rectify BFW CV (121FIC-1E51-CV) fluctuate during operation HRSG E- BFW CV, 121FIC-1E51-CV. Suspected valve hunting."
315,HRSG E BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1E51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSG E :To perform servicing 121FIC-1E51 HRSG E :To perform servicing 121FIC-1E51-CV due to CV passing. WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1E51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
316,"ATR HRSG E Cal FIC-1E51-TX & FIC-1E52-TX Refer to eLog: https://point.petronas.com/elog/edit/1307119  TITLE : HRSG E NEGATIVE DEVIATION READING BETWEEN BFW (FIC-1E51-TX) AND STEAM (FIC-1E52-TX).  1. Define Problem and Impact Negative deviation between BFW (FIC-1E51-TX) and steam flow (FIC-1E52-TX). Average deviation 2%.  2. Process Recovery Action Taken To close monitor  3. 1st line troubleshooting 1) IBD maintain at 10% opening. 2) Observation at startup vent,no steam passing. 3) Visual and structured round no observerd leak.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT C&I ATR HRSG E Cal FIC-1E51-TX & FIC-1E52-TX ATR HRSG E Cal FIC-1E51-TX & FIC-1E52-TX Refer to eLog: https://point.petronas.com/elog/edit/1307119  TITLE : HRSG E NEGATIVE DEVIATION READING BETWEEN BFW (FIC-1E51-TX) AND STEAM (FIC-1E52-TX).  1. Define Problem and Impact Negative deviation between BFW (FIC-1E51-TX) and steam flow (FIC-1E52-TX). Average deviation 2%.  2. Process Recovery Action Taken To close monitor  3. 1st line troubleshooting 1) IBD maintain at 10% opening. 2) Observation at startup vent,no steam passing. 3) Visual and structured round no observerd leak.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT C&I"
317,Reading fluctuate BFW inlet CV HRSG E 12 # Defect : Reading fluctuate BFW inlet CV HRSG E 121-FIC-1E51-TX  # 1st line t/shooter : Reading fluctuate BFW inlet CV HRSG E 121-FIC-1E51-TX at panel due faulty.  # T/shooter : C&I required to replace new card.  # Task request : Request C&I to install new card.  # REMARKS : As per discuss. Reading fluctuate BFW inlet CV HRSG E 12 Reading fluctuate BFW inlet CV HRSG E 12 # Defect : Reading fluctuate BFW inlet CV HRSG E 121-FIC-1E51-TX  # 1st line t/shooter : Reading fluctuate BFW inlet CV HRSG E 121-FIC-1E51-TX at panel due faulty.  # T/shooter : C&I required to replace new card.  # Task request : Request C&I to install new card.  # REMARKS : As per discuss.
318,HRSG E: BFW flow fluctuated (FIC-1E51) HRSG E: BFW flow fluctuated (FIC-1E51) HRSG E: BFW flow transmitter (FIC-1E51-T HRSG E: BFW flow transmitter (FIC-1E51-TX) fluctuated
319,HRSG F BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1F51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSG F BFW STEAM DRUM LVL CV PASSING HRSG F BFW STEAM DRUM LVL CV PASSING  To perform CV servicing for BFW CV 121FIC-1F51-CV due to passing  WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1F51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
320,HRSG F:SUPERHEATER STEAM FLOW TX FAULTY HRSG F:SUPERHEATER STEAM FLOW TX FAULTY  1st Line T/S: 1. Observe reading fluctuate and drop to 0t/h. 2. No leak observe at site. 3. No cable loose observe.  Integrated T/S: 1. Perform transmitter tubing flushing. Reading back to normal but still fluctuate and drop to 0t/h 2. Request to raise defect if issue repeated.  Work Request: To replace new electronic card.  Tag Number and name: 121FIC-1F52-TX Superheater Steam Flow Tx  Remark: NA HRSG F:To replace Electronic card 121FIC HRSG F:To replace Electronic card 121FIC-1F52-TX due to reading faulty HRSG F:SUPERHEATER STEAM FLOW TX FAULTY  1st Line T/S: 1. Observe reading fluctuate and drop to 0t/h. 2. No leak observe at site. 3. No cable loose observe..  Work Request: To replace new electronic card.  Tag Number and name: 121FIC-1F52-TX Superheater Steam Flow Tx  Remark: NA
321,HRSG F SUPERHEAT STEAM FLOW TUBING LEAK Work Request : C&I to replace sealport at low site and tubing HRSG F superheated steam flow (12fic-1f52-TX)due to tubing leak at fitting to seal port.  Can`t perform retighten due to high pressure release.  Reading during running 78t/hr and no fluctuated reading.  Please refer attachment for picture and video. HRSG F SUPERHEAT STEAM FLOW TUBING LEAK HRSG F SUPERHEAT STEAM FLOW TUBING LEAK Work Request : C&I te rectify HRSG F superheated steam flow (12fic-1f52-TX) tubing leak at fitting to seal port.  Can`t perform retighten due to high pressure release.  Reading during running 78t/hr and no fluctuated reading.  Please refer attachment for picture and video.
322,HRSG G BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1G51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSG G:To perform servicing  BFW CV 121F HRSG G:To perform servicing  BFW CV 121FIC-1G51-CV due to passing WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1G51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
323,"HRSG G LINKAGE FOR ECONOMIZER CV 56B Work Request : C&I to replace new linkage for ECONOMIZER CV 121-TIC-1G56B-CV due to fractured.  1st line T/shooting: 1)Select CV in MANUAL and Compare reading from DCS and field.   -56 B opening 92% at DCS,site 90%.   -56 B opening 90%DCS,site 90%.   -56 B opening 88at DCS,site 90%.   -56 B opening 86at DCS,site 0% (fully closed).  T/Shooter:Inform no spare for linkage.  Remark:Refer picture as per attachment. # Functional location not found. HRSG G:To replace linkage 121-TIC-1G56B- HRSG G:To replace linkage 121-TIC-1G56B-CV due to fractured   LINKAGE FOR ECONOMIZER CV 56B Work Request : C&I to replace new linkage for ECONOMIZER CV 121-TIC-1G56B-CV due to fractured.  1st line T/shooting: 1)Select CV in MANUAL and Compare reading from DCS and field.   -56 B opening 92% at DCS,site 90%.   -56 B opening 90%DCS,site 90%.   -56 B opening 88at DCS,site 90%.   -56 B opening 86at DCS,site 0% (fully closed).  T/Shooter:Inform no spare for linkage.  Remark:Refer picture as per attachment. # Functional location not found."
324,"HRSG G HIGH DEVIATION BFW VS STEAM FLOW Work Request : C&I to replace new transmitter for BFW to HRSG G (121FIC-1G51-TX) due to function not linear during C&I perform zero and span transmitter.  1st line: 1)Visual observation no abnormal condition.  T/shooter: 1)Recalibrate the transmitter,zero and span good but from 25%,50%75% mA drift 2)Transmitter function not linear,advice to raise notification to replace new transmitter. 3)Found mA drift. HRSG G HIGH DEVIATION BFW VS STEAM FLOW HRSG G HIGH DEVIATION BFW VS STEAM FLOW Work Request : C&I to replace new transmitter for BFW to HRSG G (121FIC-1G51-TX) due to function not linear during C&I perform zero and span transmitter.  1st line: 1)Visual observation no abnormal condition.  T/shooter: 1)Recalibrate the transmitter,zero and span good but from 25%,50%75% mA drift 2)Transmitter function not linear,advice to raise notification to replace new transmitter. 3)Found mA drift."
325,"HRSG G: Steam flow deviate with BFW inle HRSG G: Steam flow deviate with BFW inlet, refer to attached pic (121FIC-1G52-TX) HRSG G: Steam flow (121FIC-1G52-TX) devi HRSG G: Steam flow (121FIC-1G52-TX) deviate with BFW inlet"
326,"HRSG G: Steam flowmeter reading suspect HRSG G: Steam flowmeter reading suspect faulty (1G52)  Reading 1G51 : 62283.4 (BFW inlet) Reading 1G52 : 25372.0 (Steam outlet)  Suspect faulty due to with firing, steam production should be no less than 40t/hr. (Usually steam production without burner already up to 45-55t/hr). HRSG G: FIC-1G52-TX superheated steam fl HRSG G: FIC-1G52-TX superheated steam flow reading suspect faulty  Reading 1G51 : 62283.4 (BFW inlet) Reading 1G52 : 25372.0 (Steam outlet)  Suspect faulty due to with firing, steam production should be no less than 40t/hr. (Usually steam production without burner already up to 45-55t/hr)."
327,HP/IP B FQI-023 LEAK AT TUBING WORK REQUEST TASK:To request C&I to rectify tubing leak for HP/IP letdown B Flow TX TAG NUMBER AND NAME: FQI-023-TX HP/IP letdown B Flow TX INTERGRATED TROOBLESHOOT: Clear cut defect. request to raised defect REMARKS: refer attachment HP/IP B FQI-023 LEAK AT TUBING HP/IP B FQI-023 LEAK AT TUBING WORK REQUEST TASK:To request C&I to rectify tubing leak for HP/IP letdown B Flow TX TAG NUMBER AND NAME: FQI-023-TX HP/IP letdown B Flow TX INTERGRATED TROOBLESHOOT: Clear cut defect. request to raised defect REMARKS: refer attachment
328,HP/IP B : FQI-023-Tx reading faulty DCS HP/IP B : FQI-023-Tx reading faulty DCS 77tn/hr. CV 0% HP/IP B : To replace flowmeter and recti HP/IP B : To replace flowmeter and rectify tubing 121FQI-023B-Tx due reading faulty  HP/IP B : FQI-023-Tx reading faulty DCS 77tn/hr. CV 0%
329,"HHP/HP LETDOWN B STM FLOW TX NO READING HHP/HP LETDOWN B STM FLOW TX NO READING  1ST LINE T/SHOOTING: HHP/HP Letdown B steam flow transmitter (FQI-033-TX) reading 0 kg/hr. OPN perform visual check at site, no leakage and no abnormalities.  INTEGRATED T/SHOOTING: 1. Visual inspection at impulse line, normal, no leakage. 2. Zero check transmitter output in good condition. 3.99 mA. 3. Flushing high side found dirty water inside. 4. Flushing low side found water mix bubble. 5. Verify transmitter using hand pump. Good condition. 6. Recommended to top up water inside impulse line high and low side.  WORK REQUEST: To top up water inside impulse line high and low side.  REMARKS: N/A HHP/HP LETDOWN B:To perform topup impuls HHP/HP LETDOWN B:To perform topup impulse line 121FQI-033-TX due to reading 0 kg/hr. HHP/HP LETDOWN B STM FLOW TX NO READING  1ST LINE T/SHOOTING: HHP/HP Letdown B steam flow transmitter (FQI-033-TX) reading 0 kg/hr. OPN perform visual check at site, no leakage and no abnormalities.  INTEGRATED T/SHOOTING: 1. Visual inspection at impulse line, normal, no leakage. 2. Zero check transmitter output in good condition. 3.99 mA. 3. Flushing high side found dirty water inside. 4. Flushing low side found water mix bubble. 5. Verify transmitter using hand pump. Good condition. 6. Recommended to top up water inside impulse line high and low side.  WORK REQUEST: To top up water inside impulse line high and low side.  REMARKS: N/A"
